#,UNIT,ELEMENT,QUANTITY
1,"C1, C4, C5",GRM21BR71C105KA01K ,3
2,"C2, C6, C7, C8, C9",GRM21BR71H104K ,5
3,C3,TECAP10/6.3VB100,1
4,J1,PLD-20 (DS1021-2x10),1
5,L4,CM322522-101KL,1
6,"R1, R2",RC0805FR-071KL,2
7,"S1, S2, S3",2-1825910-7 (FSM14JH),3
8,U1,WEH000802AGPP5N,1
9,"U2, U3",TXS0108EPWR,2
